timestamp,route,direction,staCode,busPlate,status,speed
2026-07-11T15:30:51.399Z,21A,0,M140/2,AB6396,0,8
2026-07-11T15:30:51.399Z,21A,0,M143,AA7672,0,13
2026-07-11T15:30:51.399Z,21A,0,M172/15,AA7338,0,44
2026-07-11T15:30:51.399Z,21A,0,T315,AA2509,0,24
2026-07-11T15:30:51.399Z,21A,0,T355/1,AA7437,0,43
2026-07-11T15:30:51.399Z,21A,0,C655,AB6559,1,31
2026-07-11T15:30:51.399Z,21A,0,C680,AB6563,0,12
2026-07-11T15:30:51.399Z,21A,0,C674,AB6498,1,
2026-07-11T15:30:50.726Z,21A,1,C673,AA7258,0,9
2026-07-11T15:30:50.726Z,21A,1,C654/2,AA7783,0,40
2026-07-11T15:30:50.726Z,21A,1,T360,AA2554,0,30
2026-07-11T15:30:50.726Z,21A,1,T363/1,AA7401,0,8
2026-07-11T15:30:50.726Z,21A,1,T330/1,AB5960,0,41
2026-07-11T15:30:50.726Z,21A,1,M203/2,AA7546,0,4
2026-07-11T20:15:19.364Z,21A,0,M170/1,AA7783,1,5
2026-07-11T20:15:19.364Z,21A,0,T379,AA7401,0,2
2026-07-11T20:15:19.364Z,21A,0,C669/1,AB5960,0,15
2026-07-11T20:15:19.115Z,21A,1,C673,AB6344,1,7
2026-07-11T20:15:19.115Z,21A,1,C659,AA7591,1,28
2026-07-11T20:15:19.115Z,21A,1,C689/1,AA7260,1,3
2026-07-11T20:15:19.115Z,21A,1,T363/1,AA7546,1,14
2026-07-11T20:15:19.115Z,21A,1,T314/2,AA7258,0,26
2026-07-11T20:15:19.115Z,21A,1,T308/3,AB6396,0,20
2026-07-11T20:15:19.115Z,21A,1,M136/2,AB6559,1,16
2026-07-11T20:15:19.115Z,21A,1,M3/4,AA7338,1,
2026-07-11T22:15:19.866Z,21A,0,M143,AA7401,0,27
2026-07-11T22:15:19.866Z,21A,0,C664,AB6344,0,49
2026-07-11T22:15:19.874Z,21A,1,C670,AA7338,1,6
2026-07-11T22:15:19.874Z,21A,1,C689/1,AB6559,0,48
2026-07-11T22:15:19.874Z,21A,1,T311/2,AB6498,0,21
2026-07-11T22:30:51.153Z,21A,0,M3/4,AA7783,0,33
2026-07-11T22:30:51.153Z,21A,0,T380,AA7401,1,48
2026-07-11T22:30:51.153Z,21A,0,C674,AB6344,1,
2026-07-11T22:30:51.519Z,21A,1,C692,AA7338,1,20
2026-07-11T22:30:51.519Z,21A,1,T308/3,AB6559,0,12
2026-07-11T22:30:51.519Z,21A,1,M142,AB6498,1,20
