timestamp,route,direction,staCode,busPlate,status,speed
2026-07-11T18:45:18.641Z,56,0,C689/2,AA7414,0,47
2026-07-11T18:45:18.641Z,56,0,T314/2,AA7572,0,1
2026-07-11T18:45:18.641Z,56,0,T343,AA2744,0,4
2026-07-11T18:45:18.641Z,56,0,M254,AA2961,0,25
2026-07-11T18:45:18.641Z,56,0,M61/2,AA7406,0,41
2026-07-11T18:45:18.641Z,56,0,T379,AA7445,0,28
2026-07-12T10:45:19.374Z,56,0,C690/6,AA7359,1,22
2026-07-12T10:45:19.374Z,56,0,T343,AA7445,0,49
2026-07-12T10:45:19.374Z,56,0,M155,AA2961,0,39
2026-07-12T10:45:19.374Z,56,0,T342,AA7406,1,29
2026-07-12T11:15:18.042Z,56,0,T314/2,AA7402,0,2
2026-07-12T11:15:18.042Z,56,0,M239/1,AA7359,1,10
2026-07-12T11:15:18.042Z,56,0,M61/2,AA7445,0,47
2026-07-12T11:15:18.042Z,56,0,T379,AA2961,0,37
2026-07-12T13:15:21.843Z,56,0,T408/6,AA7406,0,46
2026-07-12T13:15:21.843Z,56,0,T343,AA7445,0,21
2026-07-12T13:15:21.843Z,56,0,M61/2,AA7402,0,39
2026-07-12T13:15:21.843Z,56,0,T313,AA7359,0,28
2026-07-12T15:30:49.713Z,56,0,T363/2,AA2879,0,29
2026-07-12T15:30:49.713Z,56,0,T343,AA7402,0,30
2026-07-12T15:30:49.713Z,56,0,M155,AA7068,0,38
2026-07-12T15:30:49.713Z,56,0,M61/2,AA7359,0,44
2026-07-12T17:00:54.932Z,56,0,C689/2,AA7445,1,12
2026-07-12T17:00:54.932Z,56,0,T314/2,AA2879,0,15
2026-07-12T17:00:54.932Z,56,0,M239/1,AA7068,0,5
2026-07-12T17:00:54.932Z,56,0,M272,AA7205,0,28
2026-07-12T17:00:54.932Z,56,0,T315,AA7359,0,25
2026-07-12T17:00:54.932Z,56,0,T375,AA2961,1,5
2026-07-12T18:30:55.347Z,56,0,T363/2,AA7445,1,12
2026-07-12T18:30:55.347Z,56,0,T343,AA2879,0,43
2026-07-12T18:30:55.347Z,56,0,M61/2,AA7402,0,26
2026-07-12T18:30:55.347Z,56,0,T375,AA7359,0,26
2026-07-12T18:30:55.347Z,56,0,C690/6,AA2961,1,
2026-07-12T18:45:20.994Z,56,0,T360,AA2961,0,6
2026-07-12T18:45:20.994Z,56,0,T363/2,AA7068,0,34
2026-07-12T18:45:20.994Z,56,0,T343,AA7445,0,49
2026-07-12T18:45:20.994Z,56,0,M155,AA2879,1,33
2026-07-12T18:45:20.994Z,56,0,T315,AA7402,0,23
