timestamp,route,direction,staCode,busPlate,status,speed
2026-07-11T16:15:19.346Z,28A,0,T403,AA7340,0,34
2026-07-11T16:15:19.346Z,28A,0,T318,AA2827,0,8
2026-07-11T16:15:19.346Z,28A,0,T319,AB6417,0,3
2026-07-11T16:15:19.346Z,28A,0,T339/1,AA7645,0,2
2026-07-11T16:15:19.346Z,28A,0,T330/1,AA2178,0,45
2026-07-11T16:15:19.346Z,28A,0,M239/9,AA7549,1,
2026-07-11T22:30:52.485Z,28A,0,M172/11,AA7645,0,47
2026-07-11T22:30:52.485Z,28A,0,T311/1,AA7340,0,39
2026-07-11T22:30:52.485Z,28A,0,M172/16,AB6417,0,41
2026-07-12T10:30:47.202Z,28A,0,M172/11,AA2178,0,47
2026-07-12T10:30:47.202Z,28A,0,T325/1,AA7645,0,14
2026-07-12T10:30:47.202Z,28A,0,M239/9,AA7549,1,
