timestamp,route,direction,staCode,busPlate,status,speed
2026-07-12T07:00:56.093Z,16,0,M18/3,AB5904,1,7
2026-07-12T07:00:56.093Z,16,0,M7/2,AB6017,0,50
2026-07-12T07:00:56.093Z,16,0,M125,AB6348,0,5
2026-07-12T07:00:56.093Z,16,0,M181,AB6043,1,25
2026-07-12T07:00:56.093Z,16,0,M144/3,AB6286,0,31
2026-07-12T07:00:56.093Z,16,0,M106,AC1461,0,34
2026-07-12T07:00:56.093Z,16,0,M106,AB6321,0,26
2026-07-12T07:00:56.093Z,16,0,M18/3,AB5767,1,
2026-07-12T20:45:20.632Z,16,0,M16/1,AB6017,0,6
2026-07-12T20:45:20.632Z,16,0,M125,AB5904,0,6
2026-07-12T20:45:20.632Z,16,0,M167,AB6145,1,24
2026-07-12T20:45:20.632Z,16,0,M106,AB6321,1,19
2026-07-12T20:45:20.632Z,16,0,M18/3,AB6181,1,
